,item-title,item-description,item-property item-rooms,item-property item-baths,item-property item-size,item-price,location
0," Di Jual Rumah Minimalis, Siap Huni, Komplek di Pamulang - Tangerang Selatan "," IDR 00206 Di Jual Rumah Minimalis, Siap Huni, Sangat murah KARENA BU di Perumahan Griya Jakarta, Pamulang. Tangerang Selatan Spesifikasi: Luas... ",4,2,120,995000000.0,Outside Jakarta
1," Rumah dijual di Bangka, Jakarta Selatan IDR 17000000- ", Dijual rumah FF bagus dan sangat terawat di Jln. Bangka. Jakarta Selatan. LT: 1000 m2 LB: 800 m2 Terdiri dari: KT: 4+4 + swimmimg pool. KM... ,4,4,800,17000000000.0,Jakarta Selatan
2, Rumah Murah Jakarta Timur Duren Sawit Strategis U Bisnis , Rumah Murah Jakarta Timur Duren Sawit Strategis U Bisnis SUPER URGEN DIJUAL MURAH RUMAH HOOK Pinggir Jl Raya Di Duren Sawit Jakarta Timur... ,6,4,499,7000000000.0,Jakarta Timur
3, Rumah Murah Jakarta Timur Duren Sawit Strategis U Bisnis , Rumah Murah Jakarta Timur Duren Sawit Strategis U Bisnis SUPER URGEN DIJUAL MURAH RUMAH HOOK Pinggir Jl Raya Di Duren Sawit Jakarta Timur... ,3,2,98,7000000000.0,Jakarta Timur
4, Dijual Cepat Murah Rumah Luas Di Lubang Buaya Jakarta Timur , Dijual BU Rumah 2 Lantai Full Furnish Megah Bangunan kokoh dengan halaman luas di depan belakang sangat strategis di Lubang Buaya Spesifikasi... ,7,6,704,8500000000.0,Jakarta Timur
5, Rumah jakarta murah di pejaten timur pasar minggu jakarta selatan ," Dijual Cepat Rumah (BU) Hitung tanah, harga terjangkau Harga 850 jt All in Semua biaya2 ditanggung Penjual Lokasi Kel. Pejaten Timur Kec... ",2,1,60,850000000.0,Outside Jakarta
6, Rumah murah secondary di cimanggis Depokk ," Jual BU, jauh di bawah harga pasar. Rumah siap huni lokasi premium dekat pintu toll Cimanggis. Rumah second, free renovasi setelah akad... ",2,1,60,600000000.0,Outside Jakarta
7," Rumah dijual di Mampang Prapatan, Jakarta Selatan IDR 7200000- ", ...di 10M Ini hanya dijual dengan harga 7M Cocok untuk investasi Dijual cepat Harga hanya nego sedikit karena memang jual BU Bisa KPR atau cash... ,4,3,650,7200000000.0,Jakarta Selatan
8, Rumah murah strategis di permata Cimanggis ," Jual BU, jauh di bawah harga pasar. Rumah siap huni lokasi premium dekat pintu toll Cimanggis. Rumah second, free renovasi setelah akad... ",2,1,60,595000000.0,Outside Jakarta
9," Rumah dijual di Johar Baru, Jakarta Pusat IDR 2700000- "," Rumah tua ini dijual cepat cepat dan BU, lokasi sangat strategis di Jalan Samba area Tanah Tinggi, Jakarta Pusat. Luas tanah 219 m2 dengan... ",2,1,200,2700000000.0,Jakarta Pusat
10, Dijual Rumah Minimalis 2 Lt Murah Pinang ranti Mansion 2 Halim , Dijual rumah minimalis 2 lantai sangat murah di pinang ranti Mansion 2 Bisa KPR DP 10 % Saja halim. Rumah Keren Murah. Spesifikasi: Luas tanah... ,2,1,38,875000000.0,Outside Jakarta
11," Rumah dijual di Senen, Jakarta Pusat IDR 2750000- "," Dijual Rumah Tua butuh sedikit renovasi di Tanah Tinggi dekat Senen Jakarta Pusat, LT: 274 M2, LB: 250 M2, KT: 3 + 1, KM: 2, Ruang Tamu Luas... ",3,2,250,2750000000.0,Jakarta Pusat
12," Rumah dijual di Joglo, Jakarta Barat IDR 6000000- "," Cepat BU Rumah Tinggal Ramah Lingkungan, Layak Huni Harga Murah Komplek Kopkamtib Joglo Kebon Jeruk Jakarta Barat. Kesempatan Sangat Langka... ",5,3,318,6000000000.0,Jakarta Barat
13," Rumah dijual di Green Lake City, Jakarta Barat IDR 1600000- "," Jual murah lg BU rumah green puri lokasi dekat perumahan Green Lake ciry ukuran 6x15 LT. 90 lb. 102, 3+1 KT, 2+1 KM, 2 lantai, listrik 4400... ",3,2,102,1600000000.0,Jakarta Barat
14, Rumah Murah Lokasi Srengseng Sawah Lenteng Agung JakSel ," Dijual BU rumah murah strategis untuk keluarga dan bagi Anda yang ingin berInvestasi di sekitaran Kampus UI dan UP. Lokasi strategis, bebas... ",1,1,50,550000000.0,Outside Jakarta
15," Rumah dijual di Rawamangun, Jakarta Timur IDR 3350000- "," Rumah dijual cepat, sangat BU. Harga Murah. Lokasi strategis berada di belakang Lapangan Golf, dekat ke jalan Pramuka, By Pass A. Yani, Pemuda... ",4,3,250,3350000000.0,Jakarta Timur
16, Dijual murah rumah mewah dengan tanah luas di Lubang Buaya , Dijual BU Rumah 2 Lantai Full Furnish Megah Bangunan kokoh dengan halaman luas di depan belakang sangat strategis di Lubang Buaya Spesifikasi... ,3,3,704,8500000000.0,Outside Jakarta
17," Rumah dijual di Bintaro, Jakarta Selatan IDR 6495000- ", DESCRIPTION Rumah lama HANYA Hitung Tanah harga murah (BU) di lokasi Sangat-sangat Stretegis dipinggir Jalan Utama Bintaro Jaya Sektor 1... ,5,3,300,6495000000.0,Jakarta Selatan
18," Rumah dijual di Cempaka Putih, Jakarta Pusat IDR 9000000- ", DIJUAL CEPAT Rumah Hitung Tanah Sangat Murah Cempaka Putih Tengah _ GOOD INFORMATION. BU Harga Murah di bawah Harga Pasar hanya 16juta/m2... ,3,2,200,9000000000.0,Jakarta Pusat
19," Rumah dijual di Kemang, Jakarta Selatan IDR 15000000- ", Rumah murah dan Megah lokasi pinggir jalan Kemang utama Dekat MCD Kemang Lt 350 m. Lb 600 m. 4 km tidur. 4 km mandi. 2 km pembantu. 1 km mandi... ,4,4,600,15000000000.0,Jakarta Selatan
20, Termurah rumah komplek taman kedoya baru jakarta barat ," Dijual cepat murah BU dana Rumah tingkat 2 lantai komplek perumahan taman kedoya baru jakarta barat Luas tanah 330 meter, Bangunan 242 meter... ",5,3,242,9000000000.0,Outside Jakarta
21," Turun harga! Rumah minimalis di janur elok raya, harga ok "," Turun harga! Dijual cepat! BU! Rumah minimalis di Janur Elok Raya, kondisi rumah rapi dan siap huni (UnFurnished), lokasi sangat OK di jalan... ",5,4,200,5350000000.0,Outside Jakarta
22," Rumah dijual di TB Simatupang, Jakarta Selatan IDR 30000- ", Rumah lama hitung tanah harga murah SUPER BU di jatipadang TB Simatupang jakarta selatan Harga: 30jt/m2 Nego sampai deal Luas Tanah 365 m2... ,1,1,200,30000000.0,Jakarta Selatan
23," Rumah dijual di Blok M, Jakarta Selatan IDR 39250000- "," Description. Dijual cepat (super bu) Rumah cantik siap huni Supeer Murah! Lokasi sangat-sangat strategis di Bulungan Prime Area, Jakarta... ",4,3,570,39250000000.0,Jakarta Selatan
24," Rumah dijual di Jagakarsa, Jakarta Selatan IDR 17000000- "," Jual Murah Rumah Mewah Second, sangat terawat 2 lt semi furnish, dgn tanah & bangunan yg luas & besar dgn lokasi yg strategis Harga: 17 M... ",4,4,600,17000000000.0,Jakarta Selatan
25," Rumah dijual di Pluit, Jakarta Utara IDR 8500000- "," [BU] Rumah murah Strategis di pluit, penjaringan, Jakarta Utara [MA07-02] Rumah hoki di pluit jakarta utara kode pos 14450 Indonesia. Di dalam... ",13,8,350,8500000000.0,Jakarta Utara
26, Rumah Kontrakkan 2 Pintu Lokasi Tanjung Barat Jakarta Selatan ," Dijual BU rumah kontrakkan murah strategis untuk keluarga dan bagi Anda yang ingin berInvestasi di wilayah Tanjung Barat, Jakarta Selatan... ",2,1,30,550000000.0,Jakarta Selatan
27, Dijual cepat rumah rusak hitung tanah di duren sawit jakarta timur , Super urgent dijual murah rumah hook bekas kebakaran kondisi terkini sudah berbeda lokasi pinggir jl raya di duren sawit jakarta timur lokasi... ,6,4,499,5500000000.0,Outside Jakarta
28," Rumah dijual di Cipayung, Jakarta Timur IDR 2300000- ", DIJUAL MURAH Rumah Bagus Terawat Siap Huni Di Jl Raya Pagelarang Setu Cipayung Jakarta Timur Cocok Buat Usaha # Spesifikasi. Rumah 2 Lantai... ,4,3,177,2300000000.0,Jakarta Timur
29," Rumah dijual di Cilandak, Jakarta Selatan IDR 31000000- "," Deskripsi: rumah harga murah (bu) hanya di harga njop tanah! Kesempatan emas. Di lokasi Cilandak Barat, Jakarta Selatan sangat Stategis dan... ",8,5,500,31000000000.0,Jakarta Selatan
30," Rumah dijual di Setiabudi, Jakarta Selatan IDR 2750000- ", Dijual Murah (BU): Rumah Hook 2 Lantai Layak Huni Jalan Lebar Strategis Di Menteng Atas Setiabudi Jakarta Selatan LT 142 m2 LB 160 m2 KT 4 KM... ,4,2,160,2750000000.0,Jakarta Selatan
31," Rumah dijual di Duren Sawit, Jakarta Timur IDR 6300000- ", SUPER URGEN DIJUAL MURAH RUMAH HOOK Pinggir Jl Raya Di Duren Sawit Jakarta Timur Lokasi Strategis Sangat Cocok Buat Buka Usaha / Rumah Kantor... ,5,3,435,6300000000.0,Jakarta Timur
32, Rumah 2 LT Lokasi Tegal Parang Mampang Buncit ," Dijual BU rumah kontrakkan murah strategis untuk keluarga dan bagi Anda yang ingin berInvestasi di wilayah Mampang, Buncit, Jakarta Selatan... ",1,1,40,300000000.0,Outside Jakarta
33, Rumah di cipinang jakarta timur siap huni bebas banjir ," Rumah Dijual di Cipinang Jakarta Timur Rp 4.200.000.000 Rumah Lama Besar, Luas Sangat Murah. BU untuk bayar utang Spesifikasi: Luas Tanah... ",4,2,472,4200000000.0,Outside Jakarta
34," Rumah dijual di Lubang Buaya, Jakarta Timur IDR 6500000- ", Dijual bu murah rumah 2 lantai full furnised bangunan mewah kokoh dengan halaman luas depan belakang sangat strategis di lubang buaya jakarta... ,4,4,228,6500000000.0,Jakarta Timur
35," Rumah dijual di Lenteng Agung, Jakarta Selatan IDR 2700000- ", Rumah Bagus besar dan Murah saja BU Di Lenteng Agung Luas Tanah: 191 Luas Bangunan: 380 (2 lantai) Kamar tidur: 5+1 Kamar mandi: 3+1 1 gudang... ,5,3,380,2700000000.0,Jakarta Selatan
36," Rumah dijual di Condet, Jakarta Timur IDR 1900000- ", URGENT DIJUAL MURAH Rumah 2 Lantai Terawat Bersih Rapih Siap Huni Dalam Cluster Di Condet Kampung Makasar Jakarta Timur Strategis Dekat Jl... ,4,4,180,1900000000.0,Jakarta Timur
37," Rumah dijual di Pondok Kelapa, Jakarta Timur IDR 6900000- ", DIJUAL MURAH Rumah Kavling Mewah 3 Lantai Di Pondok Kelapa Curug Kalimalang Duren Sawit Jakarta Timur Strategis Dekat Tol Becakayu Spesifikasi... ,4,5,495,6900000000.0,Jakarta Timur
38, Rumah siap huni lokasi premium dekat pintu toll Cimanggis ," Jual BU, jauh di bawah harga pasar. Rumah siap huni lokasi premium dekat pintu toll Cimanggis. Rumah second, free renovasi setelah akad... ",2,1,60,595000000.0,Outside Jakarta
39, Rumah Minimalis Termurah Halim Pinang Ranti ," Dijual rumah minimalis 2 lantai sangat murah di pinang ranti halim. *Spesifikasi: Luas tanah mulai 32 dan 48. 50, 70, 72 Bangunan 2 lantai... ",2,1,38,825000000.0,Outside Jakarta
44," Rumah second, free renovasi setelah akad dekat pintu toll Cimanggis "," Jual BU, jauh di bawah harga pasar. Rumah siap huni lokasi premium dekat pintu toll Cimanggis. Rumah second, free renovasi setelah akad... ",2,1,60,595000000.0,Outside Jakarta
50, Rumah siap huni lokasi premium di dekat pintu toll Cimanngis ," Jual BU, jauh di bawah harga pasar. Rumah siap huni lokasi premium dekat pintu toll Cimanggis. Rumah second, free renovasi setelah akad... ",2,1,60,595000000.0,Outside Jakarta
51," Rumah dijual di BSD Foresta, Tangerang IDR 4300000- ", Jual cepat JUAL bu Butuh uang JUAL murah Murah sekali JUAL dibawah harga pasar Lokasi bagus Bebas banjir Lingkungan Aman Dan nyaman Lingkungan... ,4,3,220,4300000000.0,Outside Jakarta
52," Rumah dijual di Karang Tengah, Tangerang IDR 3450000- ", Rumah murah Dijual Murah Harga murah sekali Dijual cepat Jual BU / butuh Uang Rumah Baru Siap Huni Rumah Bagus rumah semi furnish (free... ,4,3,164,3450000000.0,Outside Jakarta
53," Rumah dijual di Gading Serpong, Tangerang IDR 6200000- ", Rumah murah Dijual Murah Dijual cepat Jual BU / butuh Uang Rumah Baru Siap Huni Lokasi Strategis / Lokasi Terbaik di Pondok Hijau Golf Dekat... ,5,5,315,6200000000.0,Outside Jakarta
54, Jual cepat TURUN HARGA Komplek di Pesanggrahan Jakarta selatan , Jual cepat SEGERA BU TURUN HARGA Murah BANGET Rumah 2 Lantai dalam Komplek di Pesanggrahan Jakarta selatan Luas Tanah 200 mtr Luas Bangunan... ,5,4,250,2147483647.0,Outside Jakarta
55," Rumah dijual di Bintaro, Tangerang Selatan IDR 7600000- "," DIJUAL RUMAH MEWAH PURI BINTARO SEKTOR 9 harga 14 m turun menjadi 7,6 m nego karena lagi Bu, bebas banjir di Puri Bintaro Sektor 9 dengan Lt... ",5,4,900,7600000000.0,Outside Jakarta
56, Ready strategis modern komplek pemda pekayon dkt galaxy bekasi tol jkt , ...semoga cocok jadi Rumah Idaman Keluarga dan Investasi Terbaik Anda MP Kepala Manyung Bu Fat Jatiasih https //maps. App.goo. Gl/vSvBLXfRmA9kUC1z8... ,4,3,130,1299900000.0,Outside Jakarta
57," Rumah dijual di Alam Sutera, Tangerang IDR 6000000- ", Rumah murah Dijual Murah Dijual cepat Jual BU / butuh Uang Rumah Baru Siap Huni RUmah Ready Stok Rumah murah Rumah Bagus Lokasi Strategis /... ,4,3,400,6000000000.0,Outside Jakarta
58, Apartemen strategis di lippo Karawaci harga terjun bebas , Apartemen 2Br With hook Cocok utk anda yg ingin dpt passive income dgn harga properti yg sangat terjangkau di daerah yg strategis dekat sekali... ,2,1,32,160000000.0,Outside Jakarta
59," Rumah dijual di Cileungsi, Bogor IDR 2500000- "," Di Jual Rumah MURAH, BU, Strategis Pinggir Jalan, Cibubur Cileungsi. Sangat cocok untuk Rumah tinggal dengan lahan yg luas, atau pun sebagai... ",5,3,250,2500000000.0,Outside Jakarta
60," Rumah dijual di Gading Serpong, Tangerang IDR 1700000- ", Rumah Murah Rumah Bagus Rumah Siap Huni Rumah Sangat Rapih Rumah Ready Stok Rumah Terawat dengan baik Dijual Murah Dijual cepat Jual BU /... ,2,2,77,1700000000.0,Outside Jakarta
61, Paragon village bernilai investasi tinggi jaman now cek foto , ...property ini untuk menghasilkan nilai investasi yg menjadikan passive income anda saat ini karena nilai apartemen yg kami tawarkan sangat... ,1,1,28,150000000.0,Outside Jakarta
62," Apartemen dijual di Lippo Karawaci, Tangerang IDR 150000- "," ...property anda untuk menghasilkan nilai investasi yg menjadikan passive income anda saat ini, karena nilai apartemen yg kami tawarkan sangat... ",2,1,32,150000000.0,Outside Jakarta
63," Rumah dijual di BSD The Green, Tangerang IDR 7500000- "," JUAL CEPAT Rumah Bagus, Rumah Full Renov, Rumah siap huni Rumah Mewah Rumah Bagus sekali ada kolam renang (swimming pool) built in furniture... ",5,4,366,7500000000.0,Outside Jakarta
64," Rumah dijual di Jatibening, Bekasi IDR 2770000- ", Listing Aktif Warsikin Asyraf: URGEN DIJUAL MURAH Rumah Full Furnished Terawat Siap Huni Di Pinggir Jl Raya Kapin Jatibening Baru Pondokgede... ,4,4,196,2770000000.0,Outside Jakarta
66," Apartemen dijual di Lippo Karawaci, Tangerang IDR 150000- ", Unit sangat terawat Bisa jadi pemasukan tiap bulan Pasti penuh terus sewaan Return cepat Tidak sampai 5 tahun memungkinkan balik modal Passive... ,1,1,28,150000000.0,Outside Jakarta
67," Rumah dijual di Gading Serpong, Tangerang IDR 1700000- ", Rumah Murah Rumah Bagus Rumah Siap Huni Rumah Sangat Rapih Rumah Ready Stok Rumah Terawat dengan baik Dijual Murah Dijual cepat Jual BU /... ,2,2,77,1700000000.0,Outside Jakarta
68," Rumah dijual di Jatibening, Bekasi IDR 1300000- "," Rumah 2 Lantai Minimalis Kokoh Baru Murah di Jatibening Baru Bebas Banjir dan Strategis Harga 1,35 Nego tipis, bisa KPR Inden atau Cash bu ida... ",3,3,130,1300000000.0,Outside Jakarta
